id,image_id,category_id,area,bbox_x,bbox_y,bbox_w,bbox_h,num_polygon_points,num_spine_points,iscrowd
d7fd9cdb-3f34-4dfc-a1fa-c1fd25110a98,040301-20140609195854Bh,2,750.0,388.4121,799.966,92.52639999999997,52.485000000000014,85,27,0
ca65251f-f7c8-4553-ad55-ad0f06272782,040301-20140609195854Bh,3,1060.0,427.3645,1310.312,96.6123,46.15890000000013,37,10,0
7b301b5d-fe5d-4b4d-b0b7-41b0f8cabeec,040301-20140609195854Bh,1,1381.0,753.6963,576.3292,28.943200000000047,145.35559999999998,91,19,0
184911bf-d671-4a08-bc84-6f5fb7ce5277,040301-20140609195854Bh,2,719.0,1567.404,654.9481,26.704500000000053,96.05190000000005,52,16,0
67dcd25e-ed1e-4565-960e-d653c9a905ab,040301-20140609195854Bh,3,289.0,1558.4171,589.3484,21.48590000000013,40.876100000000065,25,7,0
730b345b-574a-4da7-9b62-5ffe6192ed30,040301-20140609195854Bh,2,1206.0,1258.467,796.0,114.5329999999999,52.07669999999996,79,15,0
e5f87bb8-4000-46ee-81b5-701705880be6,040301-20140609195854Bh,1,4294.0,1394.7239,885.8385,97.1110000000001,206.6513000000001,197,15,0
30c4ce39-dfff-4b27-8624-fa9a6a00b76e,040301-20140609195854Bh,1,4178.0,1531.0012,1153.3412,73.12880000000018,135.1534999999999,96,17,0
f376240a-00af-44da-9705-402ffc8f8d49,040301-20140609195854Bh,3,728.0,1452.7501,730.8587,88.54960000000005,41.69410000000005,35,13,0
dcd80baf-0c75-44cb-99ce-9eda5756e507,040301-20140609195854Bh,2,859.0,1097.3342,1273.5246,82.01279999999997,82.33590000000004,70,20,0
5787e002-b7aa-46d2-85e1-5d99afc6355a,040301-20140609195854Bh,3,267.0,1446.2825,753.7792,37.895500000000084,35.47320000000002,23,6,0
9113780a-b5a4-4dc2-b6fc-580a7513ed94,040301-20140609195854Bh,3,1186.0,1207.7326,1136.6837,101.71460000000002,79.30050000000006,50,22,0
358e381d-d27e-4e28-8899-236567aa8a00,050103-20111116063134Lh,1,1663.0,1157.4954,1052.3479,58.159799999999905,181.65210000000002,139,26,0
381a63d8-5401-4131-b181-282c0d50fd50,050103-20111116063134Lh,2,4603.0,928.394,1439.7757,360.7542000000001,75.58570000000009,138,32,0
3f0cf8fe-0689-44f6-b436-88628fdd3a9d,050103-20111116063134Lh,2,686.0,1592.7664,668.8292,92.30629999999996,74.17420000000004,51,27,0
cb3d0cd0-00d4-4f36-8b07-2edf1cc36cf8,050103-20111116063134Lh,2,14532.0,771.3837,455.83,618.9675000000001,329.27720000000005,469,57,0
feb82bc1-6d42-4766-a0e8-f857c47cd5ad,050103-20111116063134Lh,3,1115.0,469.9655,548.7745,33.50759999999997,108.58519999999999,36,19,0
197f4b3f-03ee-45fa-be1d-97cef92d9ce9,050103-20111116063134Lh,3,384.0,430.7364,613.0483,17.54000000000002,69.0702,22,9,0
4fbc3119-3d78-4078-8852-064714ca76b0,050103-20111116063134Lh,2,764.0,1558.7218,1299.6269,34.88760000000002,60.3737000000001,69,12,0
6aac8e61-826b-4a66-ad0c-1cd2698a2a65,050103-20111116063134Lh,3,2282.0,1173.6996,1528.4183,102.38580000000002,89.00710000000004,32,15,0
04864537-97a2-4075-b19d-d2c5760e26ce,050103-20111116063134Lh,3,2348.0,712.2083,1616.0143,170.1513,44.26409999999987,50,22,0
c3783a29-d5ad-4d3a-9837-cc3d5233638b,050103-20111116063134Lh,2,1180.0,879.566,1079.2289,48.985900000000015,100.37389999999982,99,28,0
f1e18d29-0432-4894-9639-141ec44eae0c,050103-20111116063134Lh,3,318.0,291.9846,778.6392,40.641999999999996,34.85710000000006,58,14,0
fa579752-0fa6-4802-9eec-5d98558875a0,050102-20111116063134Lh,2,19257.0,676.14,442.9494,714.9377000000001,343.77669999999995,200,40,0
07733b34-f29f-471a-bc5a-fe2046043bcc,050102-20111116063134Lh,1,3202.0,1157.0176,1049.3131,61.23870000000011,188.07479999999987,83,16,0
130b47c0-4c47-48e7-bcb1-4531e6405e34,050102-20111116063134Lh,2,5512.0,954.5339,1436.5002,338.7456000000001,78.44360000000006,103,25,0
9763785a-692d-4cef-84ce-a54a5a60f4cc,050102-20111116063134Lh,3,557.0,429.7669,609.9637,17.641999999999996,72.18299999999999,16,7,0
a362baa2-b3ee-43a8-8f1d-b1ac95790cf2,050102-20111116063134Lh,1,1351.0,1590.3858,667.0796,105.10239999999999,85.0145,67,17,0
b7fbe21a-bfed-4874-9360-d16c4aafbf07,050102-20111116063134Lh,3,6596.0,843.0299,1751.917,262.58179999999993,76.1735000000001,33,7,0
145297eb-431d-426e-acee-65ac1c652b8d,050102-20111116063134Lh,3,1421.0,1558.8848,1287.6403,41.975599999999986,73.48810000000003,21,5,0
30246318-3c2c-42e3-b2b1-e43851808134,050102-20111116063134Lh,2,1888.0,894.2123,1075.8426,36.605500000000006,105.77539999999999,72,8,0
32159e24-4b1e-47e2-bda9-f350d6e86f48,050102-20111116063134Lh,1,2706.0,722.5252,1607.4188,161.97479999999996,57.002300000000105,79,7,0
782ac718-9fe1-45a1-a031-d25e5447b436,050102-20111116063134Lh,1,1639.0,1157.5994,1537.3726,112.45889999999986,84.38779999999997,87,6,0
bf59bc64-3a68-4ed7-8218-b690196eb42e,050102-20111116063134Lh,3,1393.0,466.0658,545.8976,37.40229999999997,112.28819999999996,38,19,0
ea9db1f3-0a9d-4e0d-ad7a-9ed57cae5f1a,050101-20111116063134Lh,1,2446.0,1155.6351,1049.4211,56.789600000000064,189.61290000000008,155,46,0
af69b8cc-4195-4814-b801-2bbe41c3662c,050101-20111116063134Lh,2,4841.0,959.0,1433.6056,330.93280000000004,74.3943999999999,178,39,0
68726409-c7e1-49be-86ae-2ffa556143f7,050101-20111116063134Lh,2,15939.0,673.4893,428.5848,714.8597,357.9012,419,70,0
892a563c-fb44-47cd-911c-bb2567ab5517,050101-20111116063134Lh,1,688.0,734.3853,1631.0,97.61469999999997,26.09979999999996,52,21,0
88e62b93-4f03-45d4-9b8c-9dc6782b3c10,050101-20111116063134Lh,2,1154.0,896.5667,1087.7547,31.28780000000006,90.67779999999993,66,22,0
3ed9ddb5-c1f7-4388-977b-ccd196784bfb,050101-20111116063134Lh,1,583.0,1186.6623,1558.4485,58.33770000000004,47.38270000000011,46,19,0
cc1e701e-e79f-4d6b-a7a3-41bd6df241a6,050101-20111116063134Lh,3,608.0,1558.3299,1299.0,33.97870000000012,57.0,25,21,0
71199cc4-041d-4064-afa3-5ca71b40ead4,050101-20111116063134Lh,2,953.0,469.9037,547.3871,32.9015,108.61289999999997,55,26,0
04a87a70-ae01-4199-a3a8-43b4ff99bcff,050101-20111116063134Lh,3,395.0,854.4989,1613.8376,29.50109999999995,21.5,25,16,0
83fab9de-41f5-450e-8053-8b25db20e4df,050101-20111116063134Lh,3,428.0,430.5673,613.9944,16.58280000000002,67.0367,31,22,0
3c7bf013-7cc8-45ae-866b-2697767ab974,050101-20111116063134Lh,2,849.0,1591.832,668.0,101.11379999999986,64.74990000000003,59,31,0
