percentile,w_over_h,h_over_w,elongation_long_over_short,bbox_area_px,segmentation_area_px,seg_area_over_bbox_area
0,0.12244897959183673,0.07823698427821887,1.0,13.242411999999867,9.0,0.030950156934171892
1,0.2155573328832012,0.20013820399516558,1.0083980430304957,476.6938517807999,208.98000000000002,0.05998049732934896
5,0.3267719996104547,0.2993143984680868,1.0488975904272984,866.6444261189961,316.90000000000003,0.09002360928113419
10,0.4144061047027728,0.36614653183285345,1.101699127638501,1177.63802,409.80000000000007,0.11263879458726839
25,0.6582091810226295,0.558560189420916,1.2713230816299252,2232.501824619995,670.0,0.16207784035242645
50,1.111181867529957,0.8999426909502197,1.661817944688811,4999.775629839995,1228.0,0.24295598580244976
75,1.7903174705904403,1.5192739197991794,2.3566879782977996,12731.077024650003,2438.0,0.3615102055490698
90,2.731147109513179,2.4130919261789243,3.2334797866778673,29544.752472355998,4684.599999999999,0.4779149197499917
95,3.340969177945352,3.06023815090249,3.9187789767457906,51970.57527202293,6946.79999999999,0.5573258746142394
99,4.996547314794913,4.639137051366476,5.436171690291701,130972.71898637587,13703.43999999999,0.6874144553995356
100,12.781678757502918,8.166666666666666,12.781678757502918,385480.50537815,37739.0,0.8753651059246302
