image_id,file_name,annotation_count
020101-20140430071914Th,20140430071914Th.jpeg,26
010101-20150518145654Bh,20150518145654Bh.jpeg,24
010101-20131025185414Mh,20131025185414Mh.jpeg,23
010102-20110914063134Lh,20110914063134Lh.jpeg,22
010402-20120703070814Th,20120703070814Th.jpeg,21
010402-20120519070814Th,20120519070814Th.jpeg,20
040302-20140807195854Bh,20140807195854Bh.jpeg,20
020401-20150706083014Th,20150706083014Th.jpeg,19
030101-20141116222234Lh,20141116222234Lh.jpeg,19
050202-20140128174554Bh,20140128174554Bh.jpeg,19
020101-20121022145554Bh,20121022145554Bh.jpeg,19
010102-20131025185414Mh,20131025185414Mh.jpeg,19
040102-20140802072114Th,20140802072114Th.jpeg,19
010101-20120215153654Bh,20120215153654Bh.jpeg,18
010402-20120610175114Mh,20120610175114Mh.jpeg,18
030101-20150130084914Th,20150130084914Th.jpeg,18
010103-20110914063134Lh,20110914063134Lh.jpeg,18
010101-20140321195814Mh,20140321195814Mh.jpeg,18
050303-20141001195834Ch,20141001195834Ch.jpeg,18
010101-20110914063134Lh,20110914063134Lh.jpeg,18
020101-20120827085114Th,20120827085114Th.jpeg,18
010102-20140112180134Ch,20140112180134Ch.jpeg,18
050303-20121208171514Mh,20121208171514Mh.jpeg,17
030101-20130111104734Ch,20130111104734Ch.jpeg,17
020101-20131116185334Ch,20131116185334Ch.jpeg,17
010401-20120802090314Th,20120802090314Th.jpeg,17
030101-20121118092514Th,20121118092514Th.jpeg,17
010402-20140205180154Bh,20140205180154Bh.jpeg,17
010101-20140312081114Th,20140312081114Th.jpeg,17
030101-20130805135854Bh,20130805135854Bh.jpeg,17
060403-20130411115134Ch,20130411115134Ch.jpeg,17
020101-20140525070514Th,20140525070514Th.jpeg,17
010102-20150518145654Bh,20150518145654Bh.jpeg,17
010401-20220721185332Bh,20220721185332Bh.jpeg,17
010402-20120802090314Th,20120802090314Th.jpeg,17
050202-20120523163014Mh,20120523163014Mh.jpeg,16
010401-20120519070814Th,20120519070814Th.jpeg,16
020403-20150706083014Th,20150706083014Th.jpeg,16
050103-20150421140454Bh,20150421140454Bh.jpeg,16
010402-20150423120034Ch,20150423120034Ch.jpeg,16
010101-20140513012554Uh,20140513012554Uh.jpeg,16
020101-20140908175354Bh,20140908175354Bh.jpeg,16
010401-20140406195854Bh,20140406195854Bh.jpeg,16
050102-20150421140454Bh,20150421140454Bh.jpeg,16
030101-20130725122934Ch,20130725122934Ch.jpeg,16
010101-20150112081954Uh,20150112081954Uh.jpeg,16
010101-20140127180134Ch,20140127180134Ch.jpeg,16
010401-20140216230134Lh,20140216230134Lh.jpeg,16
050103-20140710083214Th,20140710083214Th.jpeg,16
010402-20111009110234Ch,20111009110234Ch.jpeg,16
010103-20140112180134Ch,20140112180134Ch.jpeg,16
030101-20130201084914Th,20130201084914Th.jpeg,16
010402-20130925143254Bh,20130925143254Bh.jpeg,16
010303-20160204133734Ch,20160204133734Ch.jpeg,16
040102-20160129225334Lh,20160129225334Lh.jpeg,16
020401-20111018063134Lh,20111018063134Lh.jpeg,15
010101-20131109222434Lh,20131109222434Lh.jpeg,15
050202-20150621161314Mh,20150621161314Mh.jpeg,15
010402-20141112195854Bh,20141112195854Bh.jpeg,15
010402-20131011195414Mh,20131011195414Mh.jpeg,15
020101-20110526122534Ch,20110526122534Ch.jpeg,15
040301-20111206102934Ch,20111206102934Ch.jpeg,15
060403-20130707134154Bh,20130707134154Bh.jpeg,15
050101-20150421140454Bh,20150421140454Bh.jpeg,15
010102-20110918112834Ch,20110918112834Ch.jpeg,15
040102-20141007224934Lh,20141007224934Lh.jpeg,15
040201-20130611063154Uh,20130611063154Uh.jpeg,15
010401-20150423120034Ch,20150423120034Ch.jpeg,15
050103-20140210180154Bh,20140210180154Bh.jpeg,15
030101-20160411134234Ch,20160411134234Ch.jpeg,15
010101-20110918112834Ch,20110918112834Ch.jpeg,15
050102-20150113105034Ch,20150113105034Ch.jpeg,15
030302-20130609173414Mh,20130609173414Mh.jpeg,15
010102-20140127180134Ch,20140127180134Ch.jpeg,15
030101-20150203084714Th,20150203084714Th.jpeg,15
030101-20130926060834Lh,20130926060834Lh.jpeg,15
040401-20220618185332Bh,20220618185332Bh.jpeg,14
010402-20110803164914Mh,20110803164914Mh.jpeg,14
040301-20111208063134Lh,20111208063134Lh.jpeg,14
040401-20140522070614Th,20140522070614Th.jpeg,14
040102-20111214063134Lh,20111214063134Lh.jpeg,14
050103-20140414195834Ch,20140414195834Ch.jpeg,14
040201-20140420085614Th,20140420085614Th.jpeg,14
050101-20150113105034Ch,20150113105034Ch.jpeg,14
050103-20150113105034Ch,20150113105034Ch.jpeg,14
060403-20150113155654Bh,20150113155654Bh.jpeg,14
040201-20130716162214Mh,20130716162214Mh.jpeg,14
030101-20130615002434Lh,20130615002434Lh.jpeg,14
030101-20140323020654Uh,20140323020654Uh.jpeg,14
040401-20120414115434Ch,20120414115434Ch.jpeg,14
050103-20111218085014Th,20111218085014Th.jpeg,14
030101-20160127225034Lh,20160127225034Lh.jpeg,14
010403-20120519070814Th,20120519070814Th.jpeg,14
010401-20120703070814Th,20120703070814Th.jpeg,14
010101-20151122172614Mh,20151122172614Mh.jpeg,14
010203-20141004075414Th,20141004075414Th.jpeg,14
010103-20150927111834Ch,20150927111834Ch.jpeg,14
010402-20140216230134Lh,20140216230134Lh.jpeg,14
010101-20150927111834Ch,20150927111834Ch.jpeg,14
020101-20130405114734Ch,20130405114734Ch.jpeg,13
060403-20120509163414Mh,20120509163414Mh.jpeg,13
060403-20151116201114Mh,20151116201114Mh.jpeg,13
060102-20150323172814Mh,20150323172814Mh.jpeg,13
010102-20140321195814Mh,20140321195814Mh.jpeg,13
010101-20141129222134Lh,20141129222134Lh.jpeg,13
050102-20130719140154Bh,20130719140154Bh.jpeg,13
020101-20160201025254Uh,20160201025254Uh.jpeg,13
010401-20140205180154Bh,20140205180154Bh.jpeg,13
010101-20131017185334Ch,20131017185334Ch.jpeg,13
030101-20110601063134Lh,20110601063134Lh.jpeg,13
020101-20151212171154Bh,20151212171154Bh.jpeg,13
010402-20141016195834Ch,20141016195834Ch.jpeg,13
060403-20140705035754Uh,20140705035754Uh.jpeg,13
040301-20130913142354Bh,20130913142354Bh.jpeg,13
020101-20130905073714Th,20130905073714Th.jpeg,13
030101-20110923112234Ch,20110923112234Ch.jpeg,13
050102-20141216222634Lh,20141216222634Lh.jpeg,13
060403-20130628063134Lh,20130628063134Lh.jpeg,13
030302-20131030185354Bh,20131030185354Bh.jpeg,13
050303-20120113104834Ch,20120113104834Ch.jpeg,13
030403-20120907141954Bh,20120907141954Bh.jpeg,13
010302-20120803102114Th,20120803102114Th.jpeg,13
040401-20140116180214Mh,20140116180214Mh.jpeg,13
020101-20130609123334Ch,20130609123334Ch.jpeg,13
050202-20120127085214Th,20120127085214Th.jpeg,13
030302-20120103104134Ch,20120103104134Ch.jpeg,13
010201-20141012015654Uh,20141012015654Uh.jpeg,13
010201-20140414020354Uh,20140414020354Uh.jpeg,13
010102-20120330063134Lh,20120330063134Lh.jpeg,13
010402-20141106195854Bh,20141106195854Bh.jpeg,13
010102-20150927111834Ch,20150927111834Ch.jpeg,13
040201-20111019063154Uh,20111019063154Uh.jpeg,13
040401-20130901073614Th,20130901073614Th.jpeg,13
010402-20220721185332Bh,20220721185332Bh.jpeg,12
060403-20150417082314Th,20150417082314Th.jpeg,12
050202-20131013185334Ch,20131013185334Ch.jpeg,12
040401-20120803164614Mh,20120803164614Mh.jpeg,12
030101-20131031185614Mh,20131031185614Mh.jpeg,12
040301-20140609195854Bh,20140609195854Bh.jpeg,12
010403-20140406195854Bh,20140406195854Bh.jpeg,12
010402-20140406195854Bh,20140406195854Bh.jpeg,12
030101-20120313063154Uh,20120313063154Uh.jpeg,12
040301-20120901114934Ch,20120901114934Ch.jpeg,12
050101-20110502063154Uh,20110502063154Uh.jpeg,12
050303-20151209201754Bh,20151209201754Bh.jpeg,12
010403-20141112195854Bh,20141112195854Bh.jpeg,12
010101-20130811140254Bh,20130811140254Bh.jpeg,12
030401-20151224133734Ch,20151224133734Ch.jpeg,12
040401-20151219133734Ch,20151219133734Ch.jpeg,12
030302-20120712123634Ch,20120712123634Ch.jpeg,12
050101-20140710083214Th,20140710083214Th.jpeg,12
060403-20140927014554Uh,20140927014554Uh.jpeg,12
050101-20140210180154Bh,20140210180154Bh.jpeg,12
050101-20111114082314Th,20111114082314Th.jpeg,12
010201-20140225163314Th,20140225163314Th.jpeg,12
010301-20120803102114Th,20120803102114Th.jpeg,12
020401-20141225024354Uh,20141225024354Uh.jpeg,12
010402-20150221155154Bh,20150221155154Bh.jpeg,12
050103-20141214201834Ch,20141214201834Ch.jpeg,12
030101-20150615133554Bh,20150615133554Bh.jpeg,12
010203-20130903141654Bh,20130903141654Bh.jpeg,12
040102-20120116063254Uh,20120116063254Uh.jpeg,12
010202-20140918195854Bh,20140918195854Bh.jpeg,12
010102-20140513012554Uh,20140513012554Uh.jpeg,12
050202-20140908231334Lh,20140908231334Lh.jpeg,12
030101-20141013195854Bh,20141013195854Bh.jpeg,12
020403-20150610082014Th,20150610082014Th.jpeg,12
020401-20150610082014Th,20150610082014Th.jpeg,12
010302-20160204133734Ch,20160204133734Ch.jpeg,12
020101-20220718185352Mh,20220718185352Mh.jpeg,12
050102-20140210180154Bh,20140210180154Bh.jpeg,12
030302-20150302082034Lh,20150302082034Lh.jpeg,12
010401-20141112195854Bh,20141112195854Bh.jpeg,12
050102-20111218085014Th,20111218085014Th.jpeg,12
060403-20141012195854Bh,20141012195854Bh.jpeg,12
040301-20150222112034Ch,20150222112034Ch.jpeg,12
010201-20130717123434Ch,20130717123434Ch.jpeg,12
050202-20121219063154Uh,20121219063154Uh.jpeg,11
050303-20150305081954Uh,20150305081954Uh.jpeg,11
010402-20150325015554Uh,20150325015554Uh.jpeg,11
010401-20150325015554Uh,20150325015554Uh.jpeg,11
010403-20110803164914Mh,20110803164914Mh.jpeg,11
060403-20170125133734Ch,20170125133734Ch.jpeg,11
050202-20150327145114Th,20150327145114Th.jpeg,11
060403-20131207084214Th,20131207084214Th.jpeg,11
050202-20160430133734Ch,20160430133734Ch.jpeg,11
040401-20150314081954Uh,20150314081954Uh.jpeg,11
020403-20141013195834Ch,20141013195834Ch.jpeg,11
030101-20120323144054Bh,20120323144054Bh.jpeg,11
