file_name,split,is_train,is_test,width,height,mode,n_channels,file_size_bytes,px_mean,px_std,px_min,px_max,filename_parse_ok,capture_datetime,capture_date,instrument_code
20110109104734Ch.jpeg,train,1,0,2048,2048,L,1,873742,85.329509973526,57.091923256530265,0.0,230.0,True,2011-01-09 10:47:34,2011-01-09,Ch
20110114105034Ch.jpeg,train,1,0,2048,2048,L,1,870883,83.6482105255127,57.631484116627846,0.0,231.0,True,2011-01-14 10:50:34,2011-01-14,Ch
20110119082634Lh.jpeg,train,1,0,2048,2048,L,1,748571,80.96520137786865,58.91510994035545,0.0,242.0,True,2011-01-19 08:26:34,2011-01-19,Lh
20110123174914Mh.jpeg,train,1,0,2048,2048,L,1,609820,76.88766312599182,60.3041446070264,0.0,230.0,True,2011-01-23 17:49:14,2011-01-23,Mh
20110128174814Mh.jpeg,train,1,0,2048,2048,L,1,620384,77.0990080833435,60.36768664993954,0.0,232.0,True,2011-01-28 17:48:14,2011-01-28,Mh
20110203082634Lh.jpeg,train,1,0,2048,2048,L,1,750124,80.98329973220825,56.85946897673076,0.0,232.0,True,2011-02-03 08:26:34,2011-02-03,Lh
20110205082634Lh.jpeg,train,1,0,2048,2048,L,1,739637,81.03513240814209,56.858200771912976,0.0,231.0,True,2011-02-05 08:26:34,2011-02-05,Lh
20110211084114Th.jpeg,train,1,0,2048,2048,L,1,676340,86.20384120941162,51.339454056657,0.0,230.0,True,2011-02-11 08:41:14,2011-02-11,Th
20110213093414Th.jpeg,train,1,0,2048,2048,L,1,696905,86.21495962142944,51.321215027986845,0.0,255.0,True,2011-02-13 09:34:14,2011-02-13,Th
20110215083814Th.jpeg,train,1,0,2048,2048,L,1,688639,86.3820378780365,51.45362988133372,0.0,238.0,True,2011-02-15 08:38:14,2011-02-15,Th
20110220082634Lh.jpeg,train,1,0,2048,2048,L,1,754531,78.23332118988037,54.43557236390501,0.0,253.0,True,2011-02-20 08:26:34,2011-02-20,Lh
20110221173814Mh.jpeg,train,1,0,2048,2048,L,1,608879,77.10392189025879,60.29430840148845,0.0,231.0,True,2011-02-21 17:38:14,2011-02-21,Mh
20110301082654Uh.jpeg,train,1,0,2048,2048,L,1,764911,82.5113091468811,58.481203062126774,0.0,255.0,True,2011-03-01 08:26:54,2011-03-01,Uh
20110306082634Lh.jpeg,train,1,0,2048,2048,L,1,753273,82.01697444915771,56.49607775055576,0.0,255.0,True,2011-03-06 08:26:34,2011-03-06,Lh
20110312082634Lh.jpeg,train,1,0,2048,2048,L,1,776121,83.27966117858887,55.28925646310794,0.0,255.0,True,2011-03-12 08:26:34,2011-03-12,Lh
20110313082654Uh.jpeg,train,1,0,2048,2048,L,1,746781,80.04923009872437,55.100537671587006,0.0,232.0,True,2011-03-13 08:26:54,2011-03-13,Uh
20110317082654Uh.jpeg,train,1,0,2048,2048,L,1,755336,80.04819083213806,54.90801284455112,0.0,234.0,True,2011-03-17 08:26:54,2011-03-17,Uh
20110322005814Mh.jpeg,train,1,0,2048,2048,L,1,741178,91.50378656387329,49.74531077292425,0.0,231.0,True,2011-03-22 00:58:14,2011-03-22,Mh
20110324082614Th.jpeg,train,1,0,2048,2048,L,1,732433,86.61935782432556,51.168471787198094,0.0,229.0,True,2011-03-24 08:26:14,2011-03-24,Th
20110325171014Mh.jpeg,train,1,0,2048,2048,L,1,760799,79.03539252281189,58.001201524880436,0.0,244.0,True,2011-03-25 17:10:14,2011-03-25,Mh
20110326170914Mh.jpeg,train,1,0,2048,2048,L,1,541798,78.97145318984985,58.35558110045323,0.0,230.0,True,2011-03-26 17:09:14,2011-03-26,Mh
20110327143554Bh.jpeg,train,1,0,2048,2048,L,1,713800,79.86989855766296,58.34637118489616,0.0,230.0,True,2011-03-27 14:35:54,2011-03-27,Bh
20110406082634Lh.jpeg,train,1,0,2048,2048,L,1,755421,81.81207323074341,56.60130944992182,0.0,230.0,True,2011-04-06 08:26:34,2011-04-06,Lh
20110410141654Bh.jpeg,train,1,0,2048,2048,L,1,725668,80.62947130203247,58.308953404580556,0.0,230.0,True,2011-04-10 14:16:54,2011-04-10,Bh
20110421164914Mh.jpeg,train,1,0,2048,2048,L,1,803047,79.04253673553467,58.17987221349726,0.0,255.0,True,2011-04-21 16:49:14,2011-04-21,Mh
20110425063154Uh.jpeg,train,1,0,2048,2048,L,1,785799,85.16191267967224,56.69794910428433,0.0,233.0,True,2011-04-25 06:31:54,2011-04-25,Uh
20110429135554Bh.jpeg,train,1,0,2048,2048,L,1,481212,79.95427012443542,59.75397946617012,0.0,231.0,True,2011-04-29 13:55:54,2011-04-29,Bh
20110502063154Uh.jpeg,train,1,0,2048,2048,L,1,806118,84.7759017944336,56.28943498270668,0.0,230.0,True,2011-05-02 06:31:54,2011-05-02,Uh
20110509121334Ch.jpeg,train,1,0,2048,2048,L,1,813810,91.17637610435486,54.230023156725544,0.0,255.0,True,2011-05-09 12:13:34,2011-05-09,Ch
20110510063134Lh.jpeg,train,1,0,2048,2048,L,1,771474,82.36011075973511,56.5498427664322,0.0,255.0,True,2011-05-10 06:31:34,2011-05-10,Lh
20110511063154Uh.jpeg,train,1,0,2048,2048,L,1,771003,85.37938570976257,56.52550480787763,0.0,229.0,True,2011-05-11 06:31:54,2011-05-11,Uh
20110517164514Mh.jpeg,train,1,0,2048,2048,L,1,779411,87.1743836402893,51.60952596308367,0.0,242.0,True,2011-05-17 16:45:14,2011-05-17,Mh
20110520063154Uh.jpeg,train,1,0,2048,2048,L,1,775605,83.42519998550415,56.087060740294184,0.0,232.0,True,2011-05-20 06:31:54,2011-05-20,Uh
